2023 FINAL,,,,,,,,,,,,,,,,,,,,,,,,,,
School,Coach,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Ohio,Tim Albin,Michigan,Washington,Alabama,Georgia,Texas,Florida State,Oregon,Missouri,Ole Miss,Ohio State,Arizona,Notre Dame,LSU,Penn State,Oklahoma,Oklahoma State,Louisville,Tennessee,Clemson,Iowa,NC State,Kansas State,SMU,Tulane,West Virginia
Utah State,Blake Anderson,Michigan,Washington,Alabama,Texas,Georgia,Oregon,Missouri,Ohio State,Florida State,Ole Miss,Arizona,Penn State,LSU,Oklahoma,Notre Dame,Louisville,Tennessee,Oklahoma State,Clemson,Oregon State,Iowa,Kansas,NC State,Boise State,Liberty
Syracuse,Dino Babers,Michigan,Washington,Georgia,Florida State,Oregon,Texas,Alabama,Ohio State,Ole Miss,Missouri,LSU,Notre Dame,Arizona,Penn State,Oklahoma,Louisville,Oklahoma State,Tennessee,Iowa,Kansas State,NC State,Clemson,Kansas,Liberty,West Virginia
Coastal Carolina,Tim Beck,Michigan,Washington,Texas,Alabama,Georgia,Oregon,Florida State,Missouri,Ole Miss,Ohio State,Arizona,LSU,Penn State,Notre Dame,Oklahoma State,Oklahoma,Tennessee,Kansas State,Louisville,Clemson,NC State,Kansas,Oregon State,Iowa,West Virginia
Louisiana-Monroe,Terry Bowden,Michigan,Washington,Georgia,Oregon,Missouri,Ole Miss,Alabama,Texas,Florida State,LSU,Arizona,Notre Dame,Ohio State,Oklahoma,Penn State,Oklahoma State,Tennessee,Louisville,Iowa,North Carolina,SMU,Liberty,Oregon State,Tulane,James Madison
Louisville,Jeff Brohm,Michigan,Washington,Texas,Alabama,Georgia,Florida State,Oregon,Missouri,Ole Miss,Ohio State,LSU,Notre Dame,Penn State,Arizona,Oklahoma State,Oklahoma,Louisville,Tennessee,Kansas State,NC State,Clemson,Iowa,Kansas,West Virginia,Liberty
West Virginia,Neal Brown,Michigan,Washington,Texas,Alabama,Georgia,Oregon,Florida State,Ole Miss,Missouri,Arizona,Ohio State,LSU,Notre Dame,Penn State,Oklahoma State,Oklahoma,Tennessee,Kansas State,Clemson,West Virginia,Kansas,Louisville,Iowa,NC State,SMU
Air Force,Troy Calhoun,Michigan,Washington,Georgia,Texas,Alabama,Florida State,Oregon,Ole Miss,Missouri,Ohio State,LSU,Arizona,Penn State,Notre Dame,Oklahoma,Tennessee,Oklahoma State,Louisville,Kansas State,Kansas,NC State,SMU,Memphis,Liberty,Clemson
Toledo,Jason Candle,Michigan,Washington,Texas,Alabama,Georgia,Florida State,Oregon,Missouri,Ole Miss,Ohio State,LSU,Arizona,Notre Dame,Penn State,Oklahoma State,Oklahoma,Kansas State,Tennessee,Kansas,Clemson,Louisville,Iowa,NC State,West Virginia,Liberty
James Madison,Curt Cignetti,Michigan,Washington,Georgia,Alabama,Texas,Oregon,Florida State,Ole Miss,Missouri,Ohio State,LSU,Notre Dame,Penn State,Tennessee,Arizona,Oklahoma,Kansas State,West Virginia,Oklahoma State,Clemson,Louisville,NC State,Iowa,USC,Kansas
Wake Forest,Dave Clawson,Michigan,Washington,Georgia,Florida State,Texas,Alabama,Oregon,Missouri,Ole Miss,Ohio State,LSU,Penn State,Notre Dame,Arizona,Oklahoma State,Kansas State,Oklahoma,NC State,Louisville,Clemson,Tennessee,Oregon State,Iowa,SMU,West Virginia
Louisiana Tech,Sonny Cumbie,Michigan,Washington,Georgia,Texas,Alabama,Oregon,Missouri,Ole Miss,Florida State,Ohio State,LSU,Arizona,Notre Dame,Penn State,Oklahoma,Oklahoma State,Tennessee,Iowa,NC State,Louisville,Kansas State,West Virginia,Clemson,James Madison,SMU
Ohio State,Ryan Day,Michigan,Washington,Texas,Alabama,Georgia,Florida State,Oregon,Missouri,Ohio State,Ole Miss,Penn State,Arizona,LSU,Oklahoma,Notre Dame,Louisville,Iowa,Oklahoma State,NC State,Oregon State,Tennessee,Clemson,Liberty,SMU,Kansas State
Washington,Kalen DeBoer,Michigan,Washington,Texas,Alabama,Georgia,Oregon,Florida State,Ole Miss,Missouri,Ohio State,Penn State,Arizona,LSU,Notre Dame,Oklahoma,Tennessee,Louisville,Oklahoma State,Kansas State,Oregon State,West Virginia,SMU,Kansas,Iowa,Fresno State
Washington State,Jake Dickert,Michigan,Washington,Texas,Alabama,Georgia,Florida State,Oregon,Missouri,Ole Miss,Ohio State,Arizona,LSU,Notre Dame,Penn State,Oklahoma,Tennessee,Oklahoma State,Clemson,Kansas State,Louisville,Iowa,NC State,SMU,Kansas,Wyoming
UTEP,Dana Dimel,Michigan,Washington,Texas,Alabama,Georgia,Oregon,Missouri,Ole Miss,Ohio State,Penn State,Florida State,Arizona,LSU,Notre Dame,Oklahoma,Oklahoma State,Tennessee,Louisville,Iowa,North Carolina,SMU,Tulane,Oregon State,Clemson,Liberty
Temple,Stan Drayton,Michigan,Georgia,Washington,Texas,Alabama,Florida State,Oregon,Missouri,Ole Miss,Ohio State,LSU,Arizona,Penn State,Oklahoma,Notre Dame,Tennessee,Oklahoma State,Louisville,Clemson,NC State,SMU,Kansas,Kansas State,Oregon State,Liberty
Missouri,Eliah Drinkwitz,Michigan,Washington,Georgia,Texas,Alabama,Florida State,Missouri,Oregon,Ole Miss,Ohio State,Penn State,LSU,Arizona,Notre Dame,Oklahoma State,Louisville,Tennessee,Iowa,Oklahoma,Kansas State,NC State,Clemson,Liberty,Troy,Memphis
TCU,Sonny Dykes,Michigan,Washington,Texas,Alabama,Georgia,Oregon,Florida State,Missouri,Ole Miss,Ohio State,Arizona,LSU,Penn State,Notre Dame,Oklahoma,Oklahoma State,Tennessee,Kansas State,Louisville,Clemson,NC State,Kansas,Iowa,Liberty,SMU
Duke,Mike Elko,Michigan,Washington,Georgia,Alabama,Texas,Florida State,Missouri,Oregon,Ole Miss,Ohio State,LSU,Arizona,Notre Dame,Oklahoma,Tennessee,Penn State,Oklahoma State,Louisville,Clemson,Kansas State,Liberty,NC State,Kansas,West Virginia,Iowa
Georgia State,Shawn Elliott,Michigan,Washington,Texas,Alabama,Georgia,Florida State,Missouri,Oregon,Ole Miss,Arizona,Ohio State,LSU,Notre Dame,Oklahoma State,Oklahoma,Penn State,Kansas State,Tennessee,Clemson,Kansas,NC State,Louisville,West Virginia,SMU,Liberty
Arizona,Jedd Fisch,Michigan,Washington,Georgia,Texas,Florida State,Alabama,Oregon,Missouri,Ohio State,Arizona,Ole Miss,Penn State,LSU,Oklahoma,Notre Dame,Louisville,Oklahoma State,Tennessee,Iowa,Kansas State,NC State,Clemson,Oregon State,Liberty,James Madison
Penn State,James Franklin,Michigan,Washington,Alabama,Georgia,Texas,Oregon,Florida State,Missouri,Ohio State,Ole Miss,Penn State,LSU,Arizona,Notre Dame,Oklahoma,Tennessee,Iowa,Louisville,Oklahoma State,West Virginia,NC State,Liberty,SMU,Tulane,Kansas State
Notre Dame,Marcus Freeman,Michigan,Georgia,Alabama,Washington,Texas,Oregon,Florida State,Missouri,Ole Miss,Ohio State,Arizona,Notre Dame,LSU,Penn State,Oklahoma,Tennessee,Oklahoma State,Clemson,Kansas State,NC State,Louisville,Kansas,Oregon State,Liberty,West Virginia
Auburn,Hugh Freeze,Michigan,Washington,Texas,Alabama,Georgia,Florida State,Oregon,Missouri,Ohio State,Ole Miss,Penn State,LSU,Arizona,Notre Dame,Oklahoma,Louisville,Oklahoma State,Clemson,Tennessee,NC State,Iowa,Liberty,SMU,James Madison,Kansas State
Tulane,Willie Fritz,Michigan,Washington,Georgia,Texas,Alabama,Florida State,Oregon,Missouri,Ohio State,Arizona,Ole Miss,Penn State,Oklahoma,LSU,Notre Dame,Louisville,Oklahoma State,Tennessee,NC State,Clemson,Kansas State,Iowa,Oregon State,Liberty,James Madison
South Florida,Alex Golesh,Michigan,Washington,Georgia,Alabama,Texas,Florida State,Missouri,Ohio State,Oregon,Ole Miss,LSU,Arizona,Notre Dame,Penn State,Oklahoma,Oklahoma State,Tennessee,Iowa,Kansas State,Louisville,NC State,West Virginia,SMU,Kansas,Troy
New Mexico,Danny Gonzales,Michigan,Washington,Georgia,Texas,Alabama,Missouri,Oregon,Arizona,Ole Miss,Florida State,Ohio State,Notre Dame,Penn State,Oklahoma,LSU,Oklahoma State,Kansas State,Clemson,Tennessee,SMU,Louisville,Troy,Air Force,James Madison,Liberty
Oklahoma State,Mike Gundy,Michigan,Washington,Georgia,Texas,Alabama,Florida State,Oregon,Missouri,Ole Miss,LSU,Arizona,Ohio State,Notre Dame,Penn State,Oklahoma State,Oklahoma,Tennessee,Kansas State,Kansas,NC State,Louisville,Clemson,West Virginia,USC,Iowa
Southern Mississippi,Will Hall,Michigan,Washington,Georgia,Florida State,Texas,Alabama,Oregon,Missouri,Ole Miss,Arizona,LSU,Ohio State,Notre Dame,Penn State,Oklahoma,Tennessee,Clemson,Louisville,Iowa,Oklahoma State,Kansas State,Kansas,NC State,West Virginia,USC
Western Kentucky,Tyson Helton,Michigan,Washington,Texas,Alabama,Georgia,Oregon,Florida State,Missouri,Ole Miss,Ohio State,Arizona,LSU,Penn State,Notre Dame,Oklahoma,Oklahoma State,Tennessee,Kansas State,Louisville,Clemson,NC State,SMU,Kansas,Iowa,Liberty
Florida Atlantic,Tom Herman,Michigan,Washington,Georgia,Alabama,Florida State,Texas,Oregon,Ole Miss,Missouri,Ohio State,Penn State,Arizona,LSU,Oklahoma,Louisville,Notre Dame,Oklahoma State,Iowa,Oregon State,NC State,Tennessee,SMU,Liberty,Kansas State,James Madison
San Diego State,Brady Hoke,Michigan,Washington,Texas,Alabama,Georgia,Florida State,Oregon,Ole Miss,Arizona,Missouri,Ohio State,LSU,Penn State,Tennessee,Oklahoma,Clemson,Notre Dame,Oregon State,Oklahoma State,Louisville,Iowa,Kansas State,SMU,Liberty,Boise State
Houston,Dana Holgorsen,Michigan,Washington,Georgia,Florida State,Texas,Alabama,Oregon,Missouri,Ohio State,Arizona,Ole Miss,Penn State,Oklahoma,LSU,Oklahoma State,Louisville,Kansas State,Notre Dame,Tennessee,Iowa,NC State,Clemson,Oregon State,Liberty,Tulane
Arkansas State,Butch Jones,Michigan,Alabama,Washington,Texas,Georgia,Oregon,Florida State,Missouri,Ole Miss,Ohio State,LSU,Arizona,Penn State,Oklahoma,Notre Dame,Oklahoma State,Kansas State,Tennessee,Louisville,Clemson,NC State,Kansas,SMU,Troy,Liberty
Georgia Tech,Brent Key,Michigan,Washington,Texas,Georgia,Alabama,Florida State,Ohio State,Oregon,Missouri,Ole Miss,Penn State,Oklahoma,Notre Dame,Kansas State,LSU,Liberty,James Madison,Arizona,Louisville,Tennessee,SMU,Troy,Clemson,Oregon State,NC State
SMU,Rhett Lashlee,Michigan,Washington,Texas,Alabama,Georgia,Oregon,Florida State,Missouri,Ole Miss,Ohio State,Arizona,Notre Dame,LSU,Oklahoma State,Oklahoma,Penn State,Kansas State,Tennessee,Clemson,West Virginia,SMU,Kansas,NC State,Tulane,Memphis
Kansas,Lance Leipold,Michigan,Washington,Texas,Alabama,Georgia,Florida State,Missouri,Oregon,Ole Miss,Ohio State,Arizona,LSU,Notre Dame,Penn State,Oklahoma State,Oklahoma,Tennessee,Kansas State,Iowa,Kansas,Clemson,Louisville,West Virginia,NC State,Oregon State
Maryland,Mike Locksley,Michigan,Washington,Texas,Alabama,Georgia,Florida State,Oregon,Ohio State,LSU,Ole Miss,Missouri,Notre Dame,Arizona,Penn State,Louisville,Oklahoma State,Oklahoma,Tennessee,Kansas State,Clemson,NC State,Liberty,Kansas,Iowa,West Virginia
Florida International,Mike MacIntyre,Michigan,Washington,Georgia,Texas,Alabama,Oregon,Florida State,Ole Miss,Missouri,Ohio State,LSU,Arizona,Penn State,Notre Dame,Oklahoma,Louisville,Tennessee,Clemson,Oklahoma State,Kansas State,NC State,Kansas,Iowa,SMU,Liberty
UCF,Gus Malzahn,Michigan,Washington,Georgia,Florida State,Texas,Missouri,Oregon,Alabama,Ole Miss,Ohio State,LSU,Arizona,Notre Dame,Oklahoma,Penn State,Oklahoma State,Kansas State,Kansas,Tennessee,NC State,Louisville,SMU,Tulane,Iowa,James Madison
Miami (OH),Chuck Martin,Michigan,Washington,Texas,Alabama,Georgia,Florida State,Missouri,Oregon,Ole Miss,Arizona,Ohio State,LSU,Notre Dame,Clemson,Oklahoma State,Oklahoma,Penn State,Kansas State,Tennessee,Kansas,NC State,West Virginia,Louisville,SMU,Duke
Texas Tech,Joey McGuire,Michigan,Washington,Texas,Alabama,Georgia,Florida State,Oregon,Ole Miss,Missouri,Ohio State,Arizona,LSU,Penn State,Oklahoma State,Oklahoma,Louisville,Notre Dame,Kansas State,Tennessee,NC State,West Virginia,Clemson,Kansas,Iowa,James Madison
Army,Jeff Monken,Michigan,Washington,Texas,Alabama,Georgia,Oregon,Missouri,Ole Miss,Florida State,Arizona,Ohio State,Penn State,LSU,Notre Dame,Oklahoma,Oklahoma State,Tennessee,Louisville,Kansas State,Clemson,Iowa,NC State,West Virginia,Liberty,Kansas
Connecticut,Jim Mora,Michigan,Washington,Georgia,Texas,Alabama,Florida State,Oregon,Ohio State,Missouri,Ole Miss,Penn State,LSU,Liberty,Arizona,Tulane,Louisville,Oklahoma,Iowa,Notre Dame,SMU,North Carolina,Oregon State,James Madison,Clemson,Oklahoma State
Florida,Billy Napier,Michigan,Georgia,Washington,Alabama,Texas,Missouri,Ole Miss,Oregon,Florida State,LSU,Ohio State,Arizona,Oklahoma,Penn State,Notre Dame,Tennessee,Oklahoma State,Louisville,Iowa,Oregon State,Clemson,Kansas State,NC State,Liberty,Air Force
Pittsburgh,Pat Narduzzi,Michigan,Washington,Georgia,Alabama,Oregon,Florida State,Texas,Missouri,Misssissippi,Ohio State,Arizona,LSU,Notre Dame,Oklahoma,Penn State,Oklahoma State,Louisville,Tennessee,Kansas State,Iowa,NC State,Clemson,West Virginia,Kansas,SMU
Navy,Brian Newberry,Michigan,Washington,Georgia,Texas,Alabama,Oregon,Florida State,Ole Miss,Penn State,LSU,Missouri,Ohio State,Notre Dame,Tennessee,Arizona,Oklahoma,Louisville,Oklahoma State,Kansas State,SMU,Kansas,West Virginia,NC State,Clemson,Iowa
UNLV,Barry Odom,Michigan,Washington,Georgia,Texas,Alabama,Oregon,Florida State,Ole Miss,Missouri,Ohio State,Arizona,Penn State,LSU,Notre Dame,Iowa,Oklahoma,Louisville,NC State,Tennessee,Oklahoma State,Clemson,Kansas State,Memphis,Kansas,UTSA
Virginia Tech,Brent Pry,Michigan,Washington,Georgia,Florida State,Texas,Alabama,Oregon,Missouri,Ohio State,Ole Miss,Arizona,Penn State,LSU,Oklahoma,Notre Dame,Louisville,Oklahoma State,Tennessee,Kansas State,NC State,Clemson,Iowa,West Virginia,Kansas,Oregon State
Nebraska,Matt Rhule,Michigan,Washington,Texas,Alabama,Georgia,Florida State,Missouri,Oregon,Ole Miss,Ohio State,Arizona,Penn State,LSU,Notre Dame,Oklahoma State,Clemson,Oklahoma,Kansas State,Tennessee,Kansas,NC State,West Virginia,Louisville,SMU,Liberty
Alabama,Nick Saban,Michigan,Washington,Texas,Alabama,Georgia,Oregon,Missouri,Florida State,Ole Miss,Ohio State,LSU,Arizona,Penn State,Notre Dame,Oklahoma State,Oklahoma,Tennessee,Clemson,Louisville,NC State,Kansas State,Oregon State,SMU,Iowa,Liberty
Cincinnati,Scott Satterfield,Michigan,Washington,Texas,Alabama,Georgia,Florida State,Oregon,Missouri,Ole Miss,Ohio State,Oklahoma,LSU,Arizona,Penn State,Oklahoma State,Louisville,Notre Dame,Tennessee,Kansas State,Kansas,Clemson,NC State,Iowa,West Virginia,Northwestern
Georgia,Kirby Smart,Michigan,Washington,Texas,Alabama,Georgia,Florida State,Oregon,Missouri,Ohio State,Ole Miss,LSU,Penn State,Arizona,Oklahoma,Notre Dame,Oklahoma State,Louisville,Tennessee,Liberty,Iowa,Oregon State,SMU,Kansas State,NC State,Clemson
Middle Tennessee,Rick Stockstill,Michigan,Washington,Georgia,Florida State,Alabama,Ole Miss,Missouri,Texas,Oregon,LSU,Arizona,Ohio State,Penn State,Notre Dame,Louisville,Clemson,Oklahoma State,Iowa,Oklahoma,Tennessee,Memphis,UTSA,SMU,Liberty,UNLV
Kentucky,Mark Stoops,Michigan,Washington,Georgia,Texas,Alabama,Oregon,Missouri,Ole Miss,Ohio State,Florida State,Notre Dame,Arizona,LSU,Oklahoma,Penn State,Tennessee,Clemson,Kansas State,West Virginia,NC State,Iowa,Oklahoma State,SMU,Oregon State,Liberty
Troy,Jon Sumrall,Michigan,Washington,Texas,Alabama,Georgia,Florida State,Missouri,Ole Miss,Oregon,Ohio State,Arizona,Notre Dame,LSU,Oklahoma State,Oklahoma,Penn State,Kansas State,Louisville,NC State,West Virginia,Kansas,Troy,Tulane,Memphis,Iowa
Western Michigan,Lance Taylor,Michigan,Washington,Texas,Alabama,Georgia,Florida State,Oregon,Missouri,Ole Miss,Ohio State,LSU,Penn State,Notre Dame,Arizona,Tennessee,Oklahoma,Louisville,Iowa,NC State,Clemson,Oklahoma State,Kansas State,Oregon State,Memphis,West Virginia
Fresno State,Jeff Tedford,Michigan,Washington,Alabama,Texas,Georgia,Florida State,Oregon,Missouri,Ohio State,Ole Miss,LSU,Arizona,Notre Dame,Penn State,Oklahoma State,Oklahoma,Tennessee,Clemson,Kansas State,Kansas,West Virginia,Louisville,NC State,Iowa,Fresno State
UTSA,Jeff Traylor,Michigan,Washington,Texas,Alabama,Georgia,Oregon,Missouri,Ole Miss,LSU,Notre Dame,Florida State,Ohio State,Penn State,Arizona,Oklahoma State,Tennessee,Oklahoma,West Virginia,Kansas State,NC State,Clemson,USC,Louisville,Kansas,SMU
Utah,Kyle Whittingham,Michigan,Washington,Georgia,Oregon,Missouri,Ole Miss,Alabama,Texas,Ohio State,Florida State,Arizona,LSU,Notre Dame,Tennessee,Oklahoma,Kansas State,Penn State,Clemson,Iowa,NC State,Louisville,Oklahoma State,Tulane,Northwestern,Liberty
Nevada,Ken Wilson,Michigan,Washington,Texas,Alabama,Georgia,Oregon,Ole Miss,Missouri,Arizona,Ohio State,Penn State,Florida State,Oklahoma,LSU,Tennessee,Notre Dame,Oklahoma State,Kansas State,Clemson,Memphis,Kansas,Louisville,Air Force,Oregon State,Fresno State
Tulsa,Kevin Wilson,Michigan,Washington,Georgia,Alabama,Texas,Florida State,Missouri,Oregon,Ohio State,Ole Miss,LSU,Arizona,Notre Dame,Penn State,Oklahoma,Oklahoma State,Tennessee,Louisville,Clemson,Kansas State,SMU,NC State,Kansas,Liberty,Tulane
